Country,All,M,F,Gender life gap,Region,Continent,U5 Mortality Rate,GPI Score
Japan,84.6,81.5,87.7,6.2,Eastern Asia,Asia,2.5,1.369
Italy,84.0,81.9,86.1,4.2,Southern Europe,Europe,3.1,1.754
Switzerland,83.8,81.9,85.6,3.7,Western Europe,Europe,4.0,1.375
Singapore,83.6,81.5,85.7,4.2,South-eastern Asia,Asia,2.5,1.347
Spain,83.5,80.8,86.2,5.4,Southern Europe,Europe,3.1,1.699
Australia,83.4,81.5,85.4,3.9,Australia and New Zealand,Oceania,3.6,1.419
Iceland,83.0,81.5,84.5,3.0,Northern Europe,Europe,2.0,1.072
Israel,83.0,81.3,84.5,3.2,Western Asia,Asia,3.7,3.015
Sweden,82.8,81.0,84.6,3.6,Northern Europe,Europe,2.6,1.533
France,82.7,79.7,85.5,5.8,Western Europe,Europe,4.5,1.892
Norway,82.4,80.4,84.4,4.0,Northern Europe,Europe,2.4,1.536
Canada,82.4,80.4,84.4,4.0,Northern America,North America,4.9,1.327
Ireland,82.3,80.7,83.9,3.3,Northern Europe,Europe,3.3,1.39
Netherlands,82.3,80.6,84.0,3.4,Western Europe,Europe,4.0,1.53
New Zealand,82.3,80.6,84.0,3.5,Australia and New Zealand,Oceania,4.7,1.221
Greece,82.2,79.8,84.7,4.9,Southern Europe,Europe,3.8,1.933
Portugal,82.1,79.0,84.9,5.9,Southern Europe,Europe,3.7,1.274
Finland,81.9,79.1,84.7,5.7,Northern Europe,Europe,2.4,1.488
Belgium,81.6,79.3,83.9,4.7,Western Europe,Europe,3.4,1.533
Austria,81.5,79.2,83.9,4.8,Western Europe,Europe,3.5,1.291
Germany,81.3,78.9,83.7,4.8,Western Europe,Europe,3.8,1.547
Slovenia,81.3,78.6,84.0,5.5,Southern Europe,Europe,2.1,1.355
Cyprus,81.0,78.9,83.0,4.2,Western Asia,Asia,2.3,1.805
Denmark,80.9,78.9,82.9,5.0,Northern Europe,Europe,3.8,1.316
Costa Rica,80.3,77.7,82.9,5.2,Central America,North America,8.6,1.706
Chile,80.2,77.8,82.4,4.8,South America,South America,7.0,1.634
Qatar,80.2,79.1,82.0,4.8,Western Asia,Asia,6.5,1.696
Croatia,79.1,76.6,81.6,5.0,Southern Europe,Europe,4.8,1.645
Lebanon,78.9,77.1,80.9,3.7,Western Asia,Asia,7.2,2.8
Estonia,78.8,74.4,82.7,8.4,Northern Europe,Europe,2.4,1.727
Cuba,78.8,76.8,80.8,3.9,Caribbean,North America,5.1,2.073
Poland,78.7,74.8,82.6,7.8,Eastern Europe,Europe,4.4,1.654
Albania,78.6,77.0,80.2,7.8,Southern Europe,Europe,9.7,1.821
Panama,78.5,75.4,81.8,6.4,Central America,North America,14.9,1.804
United Arab Emirates,78.0,77.3,79.3,2.1,Western Asia,Asia,7.5,1.847
Uruguay,77.9,74.1,81.5,7.4,South America,South America,7.1,1.711
Oman,77.9,76.1,80.3,4.2,Western Asia,Asia,11.4,1.953
Turkey,77.7,74.7,80.6,5.4,Western Asia,Asia,10.0,2.735
Slovakia,77.5,74.0,81.0,7.0,Eastern Europe,Europe,5.8,1.55
Bosnia and Herzegovina,77.4,74.9,79.9,4.9,Southern Europe,Europe,5.9,2.019
Bahrain,77.3,76.4,78.4,2.0,Western Asia,Asia,6.9,2.357
Colombia,77.3,74.5,80.0,5.6,South America,South America,13.8,2.661
